year,asjc,acjc,cjc,dhs,ejc,hcjc,ijc,jpjc,nyjc,njc,rjc,sajc,sji,tmjc,tjc,vjc,yijc
2014,0.0,0.0,0.0,0.0,0.0,0.91215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.9537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5400499999999999,0.0
2016,0.0,-0.9376249999999999,-0.9376249999999999,0.0,0.0,0.21866666666666665,0.9567399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9567399999999999
2017,0.0,0.0,0.0,0.0,0.19849999999999998,0.42754999999999993,-0.7926,0.0,-0.5106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6516
2018,0.0,0.0,0.0,0.0,0.9019,0.4824137931034483,0.0,0.0,0.0,0.9496,0.9961,0.0,0.0,0.0,0.58985,0.0,0.0
2019,0.0,0.360375,0.360375,0.0,0.0,0.8884333333333334,0.0,0.0,0.0,0.0,0.3527,0.0,0.0,0.0,0.0,0.92635,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
