year,asjc,acjc,cjc,dhs,ejc,hcjc,ijc,jpjc,nyjc,njc,rjc,sajc,sji,tmjc,tjc,vjc,yijc
2014,0.14785,0.0,0.0,0.0,0.0,0.9303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,-0.9376249999999999,-0.9376249999999999,0.0,0.0,0.12865,0.9567399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9567399999999999
2017,0.0,0.0,0.0,0.0,0.03689285714285716,0.5452916666666665,0.0,0.8842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.7143,0.49943999999999994,0.0,0.0,0.0,0.9496,0.9961,0.0,0.0,0.0,0.3600666666666667,0.0,0.0
2019,0.0,0.360375,0.360375,0.0,0.0,0.92635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92635,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
