year,asjc,acjc,cjc,dhs,ejc,hcjc,ijc,jpjc,nyjc,njc,rjc,sajc,sji,tmjc,tjc,vjc,yijc
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.919,0.0
2016,0.0,-0.9376249999999999,-0.9376249999999999,0.0,0.0,0.9711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.5184599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.9051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5365636363636364,0.0,0.0
2019,0.0,0.7372000000000001,0.7372000000000001,0.0,0.0,0.92635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92635,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
