year,search term,sentiment score,Number of comments,Negative Comments,Neutral Comments,Positive Comments
2014,Apitutude|Discretionary,0,0,0,0,0
2015,Apitutude|Discretionary,0,0,0,0,0
2016,Apitutude|Discretionary,0.98065,2,0,0,2
2017,Apitutude|Discretionary,0.7372000000000001,3,0,0,3
2018,Apitutude|Discretionary,0,0,0,0,0
2019,Apitutude|Discretionary,0,0,0,0,0
2020,Apitutude|Discretionary,0.9957,1,0,0,1
