year,search term,sentiment score,Number of comments,Negative Comments,Neutral Comments,Positive Comments
2014,Apitutude|Discretionary,0,0,0,0,0
2015,Apitutude|Discretionary,0.27205,2,0,1,1
2016,Apitutude|Discretionary,0.7918055555555555,18,1,0,17
2017,Apitutude|Discretionary,0.6050285714285714,21,4,1,16
2018,Apitutude|Discretionary,0.6618166666666666,6,1,0,5
2019,Apitutude|Discretionary,0.7037428571428571,7,1,0,6
2020,Apitutude|Discretionary,0,0,0,0,0
