year,search term,sentiment score,Number of comments,Negative Comments,Neutral Comments,Positive Comments
2014,scholarship|awards,0.9419555555555554,9,0,0,9
2015,scholarship|awards,0.94815,4,0,0,4
2016,scholarship|awards,0.7861846153846154,13,2,0,11
2017,scholarship|awards,0.7976555555555556,18,0,1,17
2018,scholarship|awards,0.5942973684210525,38,6,1,31
2019,scholarship|awards,0.8656769230769229,13,0,0,13
2020,scholarship|awards,0.8682333333333333,3,0,0,3
