year,asjc,acjc,cjc,dhs,ejc,hcjc,ijc,jpjc,nyjc,njc,rjc,sajc,sji,tmjc,tjc,vjc,yijc
2014,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195,0.40790428893905195
2015,0.44692307692307687,0.44692307692307687,0.44692307692307687,0.44692307692307687,0.44692307692307687,0.45044236111111097,0.44692307692307687,0.44692307692307687,0.44692307692307687,0.44692307692307687,0.44692307692307687,0.44692307692307687,0.44692307692307687,0.44692307692307687,0.44692307692307687,0.44692,0.44692307692307687
2016,0.3735522543352605,0.3735522543352605,0.3735522543352605,0.3735522543352605,0.3735522543352605,0.3725345265588919,0.3735522543352605,0.3735522543352605,0.3735522543352605,0.3735522543352605,0.3735522543352605,0.3735522543352605,0.3735522543352605,0.3735522543352605,0.3735522543352605,0.3735522543352605,0.3735522543352605
2017,0.45227376599634395,0.45227376599634395,0.45227376599634395,0.45227376599634395,0.45157976298997293,0.44939837691614093,0.45113689497716924,0.45227376599634395,0.45139442922374456,0.45227376599634395,0.45227376599634395,0.45227376599634395,0.45227376599634395,0.45227376599634395,0.45227376599634395,0.45227376599634395,0.45025939781021923
2018,0.4585544155844155,0.4585544155844155,0.4585544155844155,0.4585544155844155,0.4585544155844155,0.45480407643312093,0.4585544155844155,0.4585544155844155,0.4585544155844155,0.4585544155844155,0.4585544155844155,0.4585544155844155,0.4585544155844155,0.4585544155844155,0.4594156532988356,0.4585544155844155,0.4585544155844155
2019,0.5489928774928777,0.545789235127479,0.545789235127479,0.5489928774928777,0.5489928774928777,0.5497417613636366,0.5489928774928777,0.5489928774928777,0.5489928774928777,0.5489928774928777,0.5484352272727275,0.5489928774928777,0.5489928774928777,0.5489928774928777,0.5489928774928777,0.5489928774928777,0.5489928774928777
2020,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001,0.6452100000000001
