year,smu,ntu,nus,sutd
2014,0.4276691331923893,0.3756512708150749,0.3734545454545454,0.05727599999999999
2015,0.4384515337423313,0.3668950155763242,0.340882584269663,0.16421333333333335
2016,0.3432484712900821,0.3204080922242311,0.3786411543287327,0.3468146666666667
2017,0.4082448950036205,0.3863950549450552,0.3548053079416528,0.3419986666666666
2018,0.4412222140221398,0.3845669986419193,0.4030995124329597,0.42026346153846156
2019,0.41655537190082664,0.4635169533169531,0.42961971830985896,0.2787363636363636
2020,0.7220642857142857,0.5970566666666668,0.6461527777777777,0.8825833333333333
2021,-0.02523333333333333,0,0,0
